127.0.0.1 - - [05/Feb/2021:08:55:46 -0800] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Feb/2021:08:55:52 -0800] "GET /firstwebapp/index.jsp HTTP/1.1" 500 2634
0:0:0:0:0:0:0:1 - - [05/Feb/2021:08:56:21 -0800] "GET /firstwebapp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:08:56:25 -0800] "GET /firstwebapp/ HTTP/1.1" 500 2634
0:0:0:0:0:0:0:1 - - [05/Feb/2021:08:56:26 -0800] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [05/Feb/2021:08:56:57 -0800] "GET /firstwebapp/ HTTP/1.1" 200 3167
0:0:0:0:0:0:0:1 - - [05/Feb/2021:08:57:13 -0800] "GET /firstwebapp/ HTTP/1.1" 200 3167
0:0:0:0:0:0:0:1 - - [05/Feb/2021:08:57:14 -0800] "GET /firstwebapp/ HTTP/1.1" 200 3167
0:0:0:0:0:0:0:1 - - [05/Feb/2021:09:31:33 -0800] "GET /firstwebapp/ HTTP/1.1" 200 3167
0:0:0:0:0:0:0:1 - - [05/Feb/2021:09:32:43 -0800] "POST /firstwebapp/addArticle HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:09:32:43 -0800] "GET /firstwebapp/ HTTP/1.1" 200 3495
0:0:0:0:0:0:0:1 - - [05/Feb/2021:09:32:47 -0800] "GET /firstwebapp/editArticle/?id=20 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:09:32:47 -0800] "GET /firstwebapp/editArticle.jsp?id=20 HTTP/1.1" 200 1235
0:0:0:0:0:0:0:1 - - [05/Feb/2021:09:32:52 -0800] "POST /firstwebapp/editArticle/?id=20 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:09:32:52 -0800] "GET /firstwebapp/ HTTP/1.1" 200 3496
0:0:0:0:0:0:0:1 - - [05/Feb/2021:09:33:07 -0800] "GET /firstwebapp/editArticle/?id=20 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:09:33:07 -0800] "GET /firstwebapp/editArticle.jsp?id=20 HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1 - - [05/Feb/2021:09:33:11 -0800] "POST /firstwebapp/editArticle/?id=20 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:09:33:11 -0800] "GET /firstwebapp/ HTTP/1.1" 200 3521
0:0:0:0:0:0:0:1 - - [05/Feb/2021:09:33:30 -0800] "GET /firstwebapp/deleteArticle/?id=20 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:09:33:30 -0800] "GET /firstwebapp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:09:33:30 -0800] "GET /firstwebapp/ HTTP/1.1" 200 3167
0:0:0:0:0:0:0:1 - - [05/Feb/2021:09:33:40 -0800] "GET /firstwebapp/searchArticle/?q=ds HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:09:33:40 -0800] "GET /firstwebapp/?q=ds HTTP/1.1" 200 2849
0:0:0:0:0:0:0:1 - - [05/Feb/2021:09:36:10 -0800] "POST /firstwebapp/addArticle HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:09:36:10 -0800] "GET /firstwebapp/ HTTP/1.1" 200 3497
0:0:0:0:0:0:0:1 - - [05/Feb/2021:09:36:20 -0800] "GET /firstwebapp/deleteArticle/?id=17 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:09:36:20 -0800] "GET /firstwebapp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:09:36:20 -0800] "GET /firstwebapp/ HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [05/Feb/2021:09:43:12 -0800] "GET /firstwebapp/ HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [05/Feb/2021:09:43:15 -0800] "GET /firstwebapp/ HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [05/Feb/2021:09:47:21 -0800] "GET /firstwebapp/ HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [05/Feb/2021:09:47:21 -0800] "GET /firstwebapp/ HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [05/Feb/2021:09:47:21 -0800] "GET /firstwebapp/ HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [05/Feb/2021:09:47:29 -0800] "POST /firstwebapp/addArticle HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Feb/2021:09:47:29 -0800] "GET /firstwebapp/ HTTP/1.1" 200 3490
0:0:0:0:0:0:0:1 - - [05/Feb/2021:09:47:55 -0800] "GET /firstwebapp/ HTTP/1.1" 200 3507
0:0:0:0:0:0:0:1 - - [05/Feb/2021:09:47:56 -0800] "GET /firstwebapp/ HTTP/1.1" 200 3507
0:0:0:0:0:0:0:1 - - [05/Feb/2021:09:49:01 -0800] "GET /firstwebapp/ HTTP/1.1" 200 3603
0:0:0:0:0:0:0:1 - - [05/Feb/2021:09:49:25 -0800] "GET /firstwebapp/ HTTP/1.1" 200 3574
